epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.4679,1.65048,1.69956,1.78232,0.77555,0.26667,0.29703,0.10544,2.85821,4.29227,3.22497,0.00104705,0.00104705,0.00104705
43,74.0459,1.66746,1.72782,1.7711,0.27491,0.3003,0.2668,0.09696,2.72859,4.49034,3.07808,0.0010421,0.0010421,0.0010421
44,75.6528,1.5915,1.6028,1.69842,0.9363,0.24957,0.31302,0.08622,2.5559,4.49198,2.94545,0.00103715,0.00103715,0.00103715
45,77.235,1.60843,1.60165,1.69546,0.81881,0.225,0.29309,0.07013,2.61758,4.24143,3.06792,0.0010322,0.0010322,0.0010322
46,78.8821,1.56952,1.46944,1.6304,0.2658,0.28403,0.23843,0.05812,2.71702,3.68568,3.10009,0.00102725,0.00102725,0.00102725
47,80.4976,1.53364,1.51059,1.71102,0.28247,0.36181,0.22512,0.04956,2.64119,4.61234,3.20182,0.0010223,0.0010223,0.0010223
48,82.1425,1.51064,1.49587,1.69779,0.50365,0.22936,0.19694,0.05395,2.78303,4.90031,3.33286,0.00101735,0.00101735,0.00101735
49,83.9157,1.42953,1.50987,1.59209,0.2798,0.25278,0.24198,0.09283,2.71315,3.45547,3.29665,0.0010124,0.0010124,0.0010124
50,85.6098,1.48618,1.39505,1.56499,0.55567,0.32222,0.30936,0.10116,2.74732,2.95722,3.3015,0.00100745,0.00100745,0.00100745
51,87.2811,1.53564,1.45952,1.60892,0.41057,0.36217,0.3207,0.1096,2.75498,3.06504,3.29561,0.0010025,0.0010025,0.0010025
52,89.0939,1.4456,1.44353,1.60476,0.31257,0.35987,0.26187,0.10688,2.7207,3.54758,3.21915,0.00099755,0.00099755,0.00099755
53,90.728,1.50866,1.41972,1.62115,0.3637,0.40466,0.35665,0.11524,2.68268,3.03643,3.20185,0.0009926,0.0009926,0.0009926
54,92.32,1.48844,1.43529,1.6695,0.4273,0.29005,0.28717,0.09503,2.69465,2.759,3.20216,0.00098765,0.00098765,0.00098765
55,93.9101,1.36767,1.34144,1.51616,0.40559,0.34306,0.37253,0.13432,2.6825,2.61951,3.24679,0.0009827,0.0009827,0.0009827
56,95.6495,1.46322,1.32538,1.63279,0.64369,0.30278,0.32676,0.07358,3.02183,2.66679,3.37367,0.00097775,0.00097775,0.00097775
57,97.3254,1.32686,1.14284,1.473,0.42698,0.29316,0.25063,0.0823,3.04939,2.55128,3.39388,0.0009728,0.0009728,0.0009728
58,99.0354,1.49045,1.35436,1.60734,0.32172,0.29444,0.23408,0.06925,3.07968,2.74039,3.39061,0.00096785,0.00096785,0.00096785
59,100.814,1.40032,1.38548,1.55638,0.25534,0.26667,0.21941,0.06439,3.13724,2.93905,3.39454,0.0009629,0.0009629,0.0009629
60,102.599,1.41866,1.33091,1.52286,0.23193,0.29147,0.15828,0.04719,3.16902,3.01092,3.45436,0.00095795,0.00095795,0.00095795
61,104.41,1.32025,1.17549,1.45527,0.23142,0.33403,0.2588,0.05743,3.08664,3.06527,3.54333,0.000953,0.000953,0.000953
62,106.138,1.31854,1.20424,1.5383,0.23101,0.33552,0.2294,0.05864,2.98804,3.31297,3.37647,0.00094805,0.00094805,0.00094805
63,107.931,1.31749,1.13168,1.44387,0.17689,0.19197,0.14995,0.05133,2.81055,3.49924,3.16281,0.0009431,0.0009431,0.0009431
64,109.677,1.35518,1.22722,1.57555,0.29501,0.35347,0.22311,0.07141,2.59685,3.23712,3.29388,0.00093815,0.00093815,0.00093815
65,111.41,1.28825,1.28976,1.4952,0.26306,0.42111,0.22947,0.07922,2.67776,3.14185,3.43684,0.0009332,0.0009332,0.0009332
66,113.08,1.41403,1.39504,1.50165,0.28297,0.41389,0.32435,0.0992,2.65201,2.90813,3.43329,0.00092825,0.00092825,0.00092825
67,114.916,1.33169,1.17055,1.5683,0.27802,0.39361,0.33639,0.13828,2.59178,2.86085,3.22943,0.0009233,0.0009233,0.0009233
68,116.667,1.31997,1.2319,1.49331,0.36255,0.35833,0.35716,0.13045,2.58745,3.03201,3.23333,0.00091835,0.00091835,0.00091835
69,118.277,1.25881,1.12182,1.45293,0.37417,0.35833,0.3512,0.09184,2.65935,2.9483,3.58456,0.0009134,0.0009134,0.0009134
70,119.906,1.23821,1.18538,1.42405,0.56963,0.33056,0.38288,0.09249,2.67764,3.04697,3.53653,0.00090845,0.00090845,0.00090845
71,121.587,1.26,1.28007,1.48286,0.4468,0.33368,0.31305,0.09629,2.68485,2.92835,3.45258,0.0009035,0.0009035,0.0009035
72,123.219,1.31657,1.20602,1.4762,0.24515,0.42174,0.25304,0.10281,2.63836,2.71484,3.41876,0.00089855,0.00089855,0.00089855
73,124.837,1.23715,1.23728,1.44343,0.35523,0.30833,0.29772,0.10017,2.60466,2.66743,3.262,0.0008936,0.0008936,0.0008936
74,126.489,1.22624,1.05104,1.40715,0.35447,0.39105,0.2641,0.09103,2.62058,2.76518,3.21979,0.00088865,0.00088865,0.00088865
75,128.056,1.17993,1.05751,1.36601,0.28071,0.42392,0.25535,0.09391,2.54417,2.80743,3.10577,0.0008837,0.0008837,0.0008837
76,129.646,1.23542,1.03092,1.38045,0.36459,0.27938,0.2511,0.09531,2.5157,2.65004,2.98537,0.00087875,0.00087875,0.00087875
77,131.21,1.23431,1.16921,1.47774,0.54209,0.36082,0.37177,0.10595,2.49883,2.85828,2.92951,0.0008738,0.0008738,0.0008738
78,132.802,1.19244,1.00526,1.39471,0.51642,0.36927,0.38573,0.11853,2.50199,2.82401,2.87395,0.00086885,0.00086885,0.00086885
79,134.387,1.14506,0.99442,1.41374,0.57169,0.36384,0.38711,0.11875,2.56312,2.67559,2.86252,0.0008639,0.0008639,0.0008639
80,135.965,1.18753,1.07809,1.3971,0.30065,0.32222,0.28971,0.10224,2.78645,3.02545,2.99671,0.00085895,0.00085895,0.00085895
81,137.553,1.26842,1.19021,1.49915,0.24383,0.38045,0.27779,0.10598,2.75306,2.9933,3.08788,0.000854,0.000854,0.000854
82,139.197,1.20834,1.08774,1.43078,0.27244,0.37778,0.26356,0.09435,2.81352,2.8607,3.18292,0.00084905,0.00084905,0.00084905
83,140.807,1.13472,0.95083,1.36496,0.34027,0.33611,0.31831,0.09523,2.80465,2.88022,3.12538,0.0008441,0.0008441,0.0008441
84,142.426,1.22954,1.01336,1.42869,0.4529,0.33056,0.40441,0.10585,2.66524,2.6865,2.9881,0.00083915,0.00083915,0.00083915
85,144.018,1.15212,0.94876,1.32006,0.41807,0.42807,0.41372,0.15882,2.43018,2.68272,2.91783,0.0008342,0.0008342,0.0008342
86,145.704,1.22015,0.98409,1.40612,0.29032,0.53681,0.39651,0.19132,2.35104,2.55227,2.85997,0.00082925,0.00082925,0.00082925
87,147.333,1.12566,1.01265,1.35742,0.27415,0.51806,0.39717,0.17123,2.5003,2.42539,3.00639,0.0008243,0.0008243,0.0008243
88,148.95,1.11171,1.05049,1.30782,0.4165,0.51624,0.43205,0.17517,2.40349,2.36161,3.13622,0.00081935,0.00081935,0.00081935
89,150.518,1.07246,0.96139,1.29654,0.37208,0.50854,0.41088,0.11966,2.56122,2.48193,3.25738,0.0008144,0.0008144,0.0008144
90,152.104,1.18029,1.15943,1.43252,0.33124,0.50156,0.35045,0.10696,2.74081,2.45195,3.45093,0.00080945,0.00080945,0.00080945
91,153.715,1.0842,0.99035,1.30338,0.3533,0.35135,0.31013,0.13761,2.5489,2.31605,3.21454,0.0008045,0.0008045,0.0008045
92,155.344,1.06982,0.93767,1.2745,0.39455,0.52077,0.39433,0.1498,2.4488,2.665,2.91818,0.00079955,0.00079955,0.00079955
93,156.976,1.01718,0.88953,1.23116,0.4622,0.55545,0.44154,0.16946,2.51832,2.54912,2.85924,0.0007946,0.0007946,0.0007946
94,158.568,1.1305,0.88502,1.31681,0.38573,0.55884,0.4428,0.18913,2.48471,2.42438,2.93706,0.00078965,0.00078965,0.00078965
95,160.177,1.01143,0.8362,1.2613,0.35101,0.59583,0.46157,0.17916,2.59535,2.39423,3.02932,0.0007847,0.0007847,0.0007847
96,161.764,1.06487,0.87646,1.30047,0.42591,0.61367,0.4123,0.12992,2.69473,2.59047,3.19108,0.00077975,0.00077975,0.00077975
97,163.338,1.04729,0.83137,1.2538,0.66008,0.37688,0.39088,0.13469,2.68065,2.5054,3.23074,0.0007748,0.0007748,0.0007748
98,164.914,1.0541,0.85794,1.2635,0.52598,0.48472,0.36314,0.1221,2.72272,2.42332,3.19587,0.00076985,0.00076985,0.00076985
99,166.503,1.00242,0.75222,1.26652,0.62325,0.44477,0.43448,0.11957,2.67124,2.41889,3.05242,0.0007649,0.0007649,0.0007649
100,168.107,1.04083,0.87688,1.29594,0.47774,0.39444,0.37893,0.13787,2.5791,2.51477,3.01088,0.00075995,0.00075995,0.00075995
101,169.676,1.07469,0.86178,1.34767,0.3875,0.48125,0.4101,0.13938,2.63195,2.41404,3.16202,0.000755,0.000755,0.000755
102,171.25,1.02829,0.86999,1.27419,0.34752,0.48433,0.42217,0.14207,2.58578,2.40938,3.16319,0.00075005,0.00075005,0.00075005
103,172.826,0.99487,0.79382,1.23698,0.36434,0.4,0.36993,0.1388,2.60621,2.5024,3.13364,0.0007451,0.0007451,0.0007451
