epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,98.0293,1.93954,1.80333,1.72897,0.52573,0.36446,0.38293,0.24195,1.73062,2.27109,1.68509,0.00121591,0.00121591,0.00121591
43,100.379,1.81965,1.83893,1.6898,0.54454,0.37271,0.37606,0.24878,1.70993,2.0762,1.70343,0.00120491,0.00120491,0.00120491
44,102.697,1.77743,1.67806,1.64361,0.52154,0.32661,0.34512,0.22576,1.85257,2.2693,1.81001,0.00119391,0.00119391,0.00119391
45,104.976,1.81728,1.75255,1.67951,0.52524,0.31748,0.30954,0.21944,1.83051,2.29571,1.80213,0.0011829,0.0011829,0.0011829
46,107.259,1.74091,1.71595,1.66745,0.60336,0.34707,0.31024,0.21187,1.82087,2.1443,1.74989,0.0011719,0.0011719,0.0011719
47,109.544,1.83929,1.74478,1.7083,0.44662,0.34454,0.28725,0.17219,1.91695,2.32314,1.81942,0.0011609,0.0011609,0.0011609
48,111.891,1.76599,1.78691,1.65645,0.51592,0.32921,0.30866,0.18283,2.13003,2.49816,2.03057,0.0011499,0.0011499,0.0011499
49,114.161,1.78839,1.77705,1.68214,0.46292,0.35256,0.30505,0.16407,2.21658,2.86198,2.0422,0.00113889,0.00113889,0.00113889
50,116.449,1.82112,1.80698,1.69345,0.47905,0.4011,0.36363,0.20685,2.07409,2.64105,1.91191,0.00112789,0.00112789,0.00112789
51,118.755,1.80583,1.73171,1.67975,0.36579,0.44963,0.36135,0.22646,1.80825,2.38131,1.74088,0.00111689,0.00111689,0.00111689
52,121.033,1.70211,1.58988,1.57479,0.46549,0.42399,0.35943,0.23272,1.80397,2.38526,1.75373,0.00110589,0.00110589,0.00110589
53,123.359,1.74505,1.70186,1.626,0.42683,0.41896,0.36051,0.24168,1.8684,2.58367,1.84101,0.00109489,0.00109489,0.00109489
54,125.645,1.71601,1.71631,1.60942,0.51929,0.38198,0.37872,0.23904,1.9397,2.38946,1.83554,0.00108388,0.00108388,0.00108388
55,127.894,1.8644,1.77956,1.6754,0.44556,0.37546,0.35683,0.22424,2.03169,2.52259,1.85204,0.00107288,0.00107288,0.00107288
56,130.153,1.61872,1.65715,1.52631,0.3999,0.40614,0.34362,0.21115,1.93713,2.26686,1.81802,0.00106188,0.00106188,0.00106188
57,132.375,1.67886,1.56596,1.55916,0.48575,0.44963,0.35683,0.24367,1.76115,1.94493,1.71202,0.00105088,0.00105088,0.00105088
58,134.617,1.73872,1.68023,1.63498,0.51429,0.44963,0.38398,0.24425,1.80167,2.03371,1.68956,0.00103987,0.00103987,0.00103987
59,136.842,1.7252,1.66564,1.59782,0.49336,0.44963,0.3764,0.24023,1.70862,2.08013,1.67121,0.00102887,0.00102887,0.00102887
60,139.161,1.68386,1.62623,1.58377,0.48509,0.38553,0.37868,0.24771,1.65805,1.98126,1.6696,0.00101787,0.00101787,0.00101787
61,141.413,1.81449,1.69164,1.70187,0.54818,0.35989,0.38849,0.25607,1.73985,2.16977,1.76709,0.00100687,0.00100687,0.00100687
62,143.727,1.64199,1.63856,1.57407,0.55565,0.43681,0.37685,0.22752,1.96763,2.12998,1.88782,0.000995866,0.000995866,0.000995866
63,146.016,1.76614,1.67318,1.636,0.45806,0.44963,0.35993,0.2169,1.98108,2.18228,1.86151,0.000984864,0.000984864,0.000984864
64,148.267,1.77335,1.62959,1.62264,0.53008,0.41723,0.37538,0.24262,1.79716,2.30463,1.72084,0.000973861,0.000973861,0.000973861
