epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49775,1.92386,4.29917,1.99508,0.05023,0.21007,0.02893,0.00891,2.08677,4.47203,1.93602,0.0001,0.0001,0.0001
2,6.19914,1.56248,3.15878,1.80585,0.01151,0.30966,0.0148,0.00678,1.978,4.29707,1.94759,0.000210396,0.000210396,0.000210396
3,8.74449,1.44553,2.71756,1.72875,0.53922,0.10526,0.03341,0.01644,1.97616,4.36642,1.90875,0.000318565,0.000318565,0.000318565
4,11.3353,1.47685,2.49615,1.65699,0.82194,0.07895,0.10246,0.06695,2.11121,4.60787,1.95087,0.000424506,0.000424506,0.000424506
5,13.927,1.41025,2.44617,1.7111,0.69164,0.11842,0.09054,0.04507,2.33281,5.02687,2.05416,0.00052822,0.00052822,0.00052822
6,16.4387,1.58822,2.40876,1.68277,0.67796,0.07895,0.07523,0.04148,2.18849,5.25524,2.02253,0.000629706,0.000629706,0.000629706
7,18.9135,1.56634,2.32145,1.67058,0.58114,0.10526,0.04355,0.01827,2.32281,5.98746,2.12837,0.000728965,0.000728965,0.000728965
8,21.3794,1.5819,2.24462,1.70984,0.58227,0.09211,0.06909,0.03054,2.3115,6.19073,2.18446,0.000825996,0.000825996,0.000825996
9,23.8942,1.51957,2.30651,1.73426,0.59241,0.05263,0.02141,0.00563,2.32462,6.18515,2.29139,0.0009208,0.0009208,0.0009208
10,26.3498,1.57988,2.27546,1.71921,0.55084,0.07895,0.01756,0.00552,2.28903,5.96968,2.16535,0.00101338,0.00101338,0.00101338
11,28.7807,1.57762,2.21746,1.67275,0.67645,0.06579,0.04057,0.01229,2.28024,6.31125,2.26011,0.00110373,0.00110373,0.00110373
12,31.238,1.59379,2.05406,1.68889,0.54241,0.06579,0.02586,0.00686,2.38376,7.12293,2.36809,0.00111388,0.00111388,0.00111388
13,33.709,1.60907,2.08387,1.74578,0.55815,0.02632,0.01247,0.00573,2.39097,6.61548,2.46458,0.0011015,0.0011015,0.0011015
14,36.1672,1.63055,2.14507,1.73694,0.58937,0.09455,0.04908,0.01373,2.43549,7.88013,2.61301,0.00108913,0.00108913,0.00108913
15,38.6314,1.57005,2.03965,1.76312,0.54498,0.07895,0.03367,0.0094,2.4019,6.01924,2.50917,0.00107675,0.00107675,0.00107675
16,41.065,1.66649,2.08653,1.84355,0.63633,0.13819,0.08716,0.03345,2.27357,6.11727,2.27144,0.00106437,0.00106437,0.00106437
17,44.2686,1.6773,2.01003,1.73917,0.63625,0.12822,0.09351,0.03747,2.33278,6.53164,2.35157,0.001052,0.001052,0.001052
18,47.4558,1.61531,1.94442,1.68475,0.78793,0.05263,0.06366,0.01848,2.26861,6.63944,2.30543,0.00103962,0.00103962,0.00103962
19,58.1493,1.53046,1.89111,1.70672,0.18527,0.03947,0.03624,0.01672,2.23342,6.01142,2.25537,0.00102725,0.00102725,0.00102725
20,65.1922,1.46523,1.76776,1.60803,0.17312,0.03947,0.0402,0.00931,2.38643,6.13451,2.29352,0.00101488,0.00101488,0.00101488
21,72.2627,1.53419,1.84771,1.74212,0.0522,0.03947,0.02216,0.00923,2.39205,6.30886,2.37555,0.0010025,0.0010025,0.0010025
22,74.7312,1.59489,1.82015,1.66796,0.13631,0.06579,0.05966,0.02116,2.34624,6.14419,2.38928,0.000990125,0.000990125,0.000990125
23,77.2087,1.54157,1.75672,1.64299,0.153,0.09286,0.06634,0.02979,2.35312,6.02074,2.32476,0.00097775,0.00097775,0.00097775
24,79.6775,1.53651,1.84884,1.67798,0.56312,0.03947,0.02732,0.01134,2.33239,6.14175,2.22394,0.000965375,0.000965375,0.000965375
25,82.1285,1.56299,1.94238,1.72246,0.70155,0.09211,0.07202,0.02303,2.2478,6.12771,2.15094,0.000953,0.000953,0.000953
26,84.5601,1.45983,1.74728,1.6169,0.63944,0.17105,0.07839,0.02539,2.23318,6.16025,2.12311,0.000940625,0.000940625,0.000940625
27,86.9662,1.48568,1.70222,1.62003,0.7192,0.14474,0.1176,0.0646,2.17998,6.13802,2.04469,0.00092825,0.00092825,0.00092825
28,89.3932,1.47134,1.73007,1.6329,0.19243,0.15789,0.10867,0.05133,2.23128,6.00806,2.03222,0.000915875,0.000915875,0.000915875
29,91.8106,1.51543,1.70933,1.57382,0.1642,0.15789,0.0889,0.04018,2.22104,5.9481,2.06152,0.0009035,0.0009035,0.0009035
30,94.225,1.35161,1.59375,1.5571,0.1054,0.13158,0.09597,0.04328,2.16339,6.26432,1.98817,0.000891125,0.000891125,0.000891125
