epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53931,1.92386,4.29917,1.99508,0.05023,0.21007,0.02893,0.00891,2.08677,4.47203,1.93602,0.0001,0.0001,0.0001
2,6.30413,1.56854,3.15559,1.80865,0.63162,0.02632,0.03124,0.0224,1.99376,4.46885,1.94003,0.000211098,0.000211098,0.000211098
3,8.94317,1.43426,2.73327,1.70694,0.64114,0.10526,0.08433,0.04274,1.95932,4.28873,1.84198,0.00032071,0.00032071,0.00032071
4,11.564,1.47478,2.5159,1.65946,0.10081,0.09211,0.0442,0.0158,2.10321,4.88434,1.95484,0.000428838,0.000428838,0.000428838
5,14.1013,1.44428,2.57057,1.73038,0.6518,0.09211,0.09268,0.04837,2.23951,5.2989,2.13288,0.00053548,0.00053548,0.00053548
6,16.7543,1.64334,2.45255,1.75315,0.54877,0.10526,0.04213,0.01819,2.32404,6.11443,2.18952,0.000640637,0.000640637,0.000640637
7,19.2367,1.64554,2.41855,1.73571,0.57359,0.09211,0.04857,0.02538,2.29988,5.47149,2.22666,0.00074431,0.00074431,0.00074431
8,21.7324,1.54751,2.29075,1.69539,0.60019,0.05263,0.0521,0.02485,2.43013,6.08558,2.42822,0.000846497,0.000846497,0.000846497
9,24.2284,1.47851,2.14498,1.73589,0.60328,0.07895,0.0357,0.01048,2.48129,6.2198,2.62681,0.0009472,0.0009472,0.0009472
10,26.7358,1.56387,2.22123,1.70149,0.57485,0.17105,0.04641,0.01587,2.44557,6.42561,2.54336,0.00104642,0.00104642,0.00104642
11,29.1836,1.61038,2.14511,1.70524,0.58409,0.09583,0.05707,0.01912,2.33172,6.46449,2.38289,0.00114415,0.00114415,0.00114415
12,31.623,1.59121,2.05123,1.69027,0.13061,0.05263,0.03049,0.00698,2.35362,6.5354,2.36376,0.00115925,0.00115925,0.00115925
13,36.7251,1.67178,2.10528,1.76766,0.05324,0.05263,0.01846,0.00662,2.36528,7.01236,2.36058,0.001151,0.001151,0.001151
14,44.2434,1.66009,2.13585,1.72001,0.02153,0.06579,0.01318,0.00498,2.37679,7.84517,2.38447,0.00114275,0.00114275,0.00114275
15,48.4424,1.6034,2.09179,1.73339,0.56298,0.07895,0.02257,0.00656,2.40805,6.92549,2.52584,0.0011345,0.0011345,0.0011345
16,50.9579,1.66223,2.11952,1.79772,0.5434,0.05263,0.01588,0.00539,2.41194,6.16241,2.3632,0.00112625,0.00112625,0.00112625
17,53.4444,1.70749,2.12089,1.70577,0.54827,0.05263,0.01522,0.0046,2.40774,6.47082,2.39823,0.001118,0.001118,0.001118
18,55.9307,1.64156,1.99906,1.68031,0.06098,0.02632,0.01817,0.00611,2.39156,7.28405,2.43976,0.00110975,0.00110975,0.00110975
19,58.418,1.54093,1.96725,1.66648,0.13859,0.07895,0.04824,0.01899,2.36052,6.67967,2.31173,0.0011015,0.0011015,0.0011015
20,60.9812,1.54231,1.83289,1.66212,0.08446,0.06579,0.03433,0.01429,2.2344,6.36342,2.10951,0.00109325,0.00109325,0.00109325
21,63.4844,1.51646,1.931,1.72642,0.06379,0.09211,0.03194,0.01265,2.24932,6.27085,2.19873,0.001085,0.001085,0.001085
22,65.9865,1.5842,1.85609,1.64436,0.05297,0.05263,0.04055,0.018,2.18162,7.14926,2.11366,0.00107675,0.00107675,0.00107675
23,68.4664,1.58555,1.76481,1.65186,0.11509,0.08272,0.05175,0.02563,2.15387,6.37795,2.04527,0.0010685,0.0010685,0.0010685
24,70.9558,1.56415,2.01436,1.66811,0.0569,0.11842,0.05685,0.02363,2.21045,6.63227,2.08711,0.00106025,0.00106025,0.00106025
25,73.44,1.56053,1.98416,1.6964,0.05951,0.10526,0.02914,0.01284,2.25774,6.19923,2.16663,0.001052,0.001052,0.001052
26,75.9078,1.46875,1.87182,1.60757,0.06449,0.11842,0.04415,0.02541,2.26032,6.0419,2.17808,0.00104375,0.00104375,0.00104375
27,78.3977,1.48563,1.73807,1.60377,0.57306,0.05263,0.02623,0.01098,2.22681,6.18228,2.09291,0.0010355,0.0010355,0.0010355
28,80.8863,1.51393,1.77989,1.66142,0.22885,0.10526,0.09511,0.03914,2.16904,6.17868,2.07511,0.00102725,0.00102725,0.00102725
29,83.3792,1.49928,1.82551,1.56683,0.62134,0.11842,0.06663,0.02759,2.21288,5.9785,2.06923,0.001019,0.001019,0.001019
30,85.8353,1.40382,1.74356,1.58967,0.5997,0.13158,0.06542,0.03552,2.15113,6.03783,2.01947,0.00101075,0.00101075,0.00101075
31,88.3056,1.41953,1.6839,1.53646,0.65637,0.18421,0.37252,0.15922,2.23143,6.00989,2.03313,0.0010025,0.0010025,0.0010025
32,90.8775,1.47789,1.67757,1.59837,0.1687,0.17105,0.11546,0.05195,2.27783,6.02948,2.11691,0.00099425,0.00099425,0.00099425
33,93.2908,1.3936,1.60291,1.51901,0.2407,0.11842,0.10746,0.04788,2.22538,6.21123,2.12168,0.000986,0.000986,0.000986
34,95.768,1.2991,1.51962,1.52256,0.15802,0.14474,0.10332,0.03727,2.1848,6.2566,2.13142,0.00097775,0.00097775,0.00097775
35,98.2488,1.38403,1.5144,1.49554,0.15341,0.13158,0.07426,0.02646,2.15752,6.18539,2.06747,0.0009695,0.0009695,0.0009695
36,100.696,1.43081,1.51201,1.5475,0.2558,0.13158,0.12603,0.04516,2.2393,6.17722,2.08982,0.00096125,0.00096125,0.00096125
37,103.143,1.35826,1.44492,1.53686,0.27089,0.13158,0.14355,0.05392,2.26899,6.23263,2.13992,0.000953,0.000953,0.000953
38,105.599,1.34626,1.36084,1.47512,0.26792,0.10526,0.11864,0.05165,2.25458,6.27921,2.15696,0.00094475,0.00094475,0.00094475
39,108.035,1.31786,1.43053,1.47141,0.21175,0.11842,0.0978,0.04414,2.12683,6.41127,2.0848,0.0009365,0.0009365,0.0009365
40,110.532,1.258,1.43619,1.48981,0.17764,0.11842,0.11052,0.05118,2.16218,6.39952,2.14718,0.00092825,0.00092825,0.00092825
41,112.945,1.21539,1.36386,1.43005,0.17465,0.11842,0.12667,0.0639,2.14775,6.45173,2.13145,0.00092,0.00092,0.00092
42,115.399,1.31883,1.43811,1.49198,0.14552,0.09735,0.09079,0.04817,2.16728,6.50885,2.08954,0.00091175,0.00091175,0.00091175
43,117.859,1.23943,1.32987,1.47404,0.08047,0.11842,0.05466,0.02058,2.14638,6.52758,2.02181,0.0009035,0.0009035,0.0009035
44,120.348,1.27924,1.37913,1.46817,0.44658,0.11842,0.14598,0.06516,2.16272,6.15239,2.06163,0.00089525,0.00089525,0.00089525
45,122.818,1.25642,1.22692,1.41644,0.32458,0.11842,0.15152,0.05617,2.15726,6.30106,2.02076,0.000887,0.000887,0.000887
46,125.275,1.20943,1.31308,1.39769,0.23266,0.15789,0.12843,0.06408,2.12992,6.35063,2.03211,0.00087875,0.00087875,0.00087875
47,127.724,1.19998,1.25911,1.3825,0.28403,0.09211,0.12475,0.07525,2.13385,6.34015,2.07626,0.0008705,0.0008705,0.0008705
48,130.225,1.14313,1.21599,1.40492,0.17379,0.1403,0.13145,0.07471,2.13617,6.55874,2.10994,0.00086225,0.00086225,0.00086225
49,132.75,1.20361,1.24199,1.41849,0.30536,0.13158,0.15248,0.08244,2.13474,6.54717,2.09574,0.000854,0.000854,0.000854
50,135.28,1.18221,1.19859,1.35267,0.25508,0.19737,0.18227,0.09848,2.18121,6.4657,2.08286,0.00084575,0.00084575,0.00084575
51,137.672,1.26307,1.21294,1.38322,0.26648,0.21022,0.17759,0.08906,2.18236,6.41362,2.08029,0.0008375,0.0008375,0.0008375
52,140.125,1.27336,1.27662,1.41009,0.17433,0.15789,0.12648,0.06373,2.1406,6.45554,2.06458,0.00082925,0.00082925,0.00082925
53,142.594,1.12023,1.13357,1.34903,0.17725,0.14474,0.1312,0.06285,2.10788,6.5888,2.03604,0.000821,0.000821,0.000821
54,145.006,1.17112,1.19303,1.42747,0.27087,0.13158,0.13378,0.08366,2.05216,6.64124,2.03798,0.00081275,0.00081275,0.00081275
55,147.446,1.13455,1.16051,1.36114,0.22987,0.14559,0.16028,0.08751,2.01636,6.59871,2.0311,0.0008045,0.0008045,0.0008045
56,149.861,1.13706,1.20743,1.39586,0.24159,0.11842,0.14474,0.07966,2.06001,6.60045,2.02559,0.00079625,0.00079625,0.00079625
