epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.7267,1.78807,1.19485,1.17867,0.45661,0.45323,0.39211,0.15552,2.27586,1.87407,1.50021,0.00113898,0.00113898,0.00113898
43,90.3466,1.81342,1.28517,1.14977,0.49332,0.46668,0.43278,0.16078,2.24273,1.80161,1.45682,0.00113191,0.00113191,0.00113191
44,92.0101,1.79146,1.26887,1.20279,0.54193,0.48566,0.46202,0.1638,2.24914,1.82824,1.45689,0.00112484,0.00112484,0.00112484
45,93.6262,1.78964,1.21791,1.14588,0.57777,0.48243,0.46863,0.16805,2.33318,1.80432,1.51525,0.00111776,0.00111776,0.00111776
46,95.1999,1.82407,1.15398,1.15472,0.4852,0.4529,0.43036,0.16042,2.35031,1.78407,1.52378,0.00111069,0.00111069,0.00111069
47,96.8119,1.82555,1.22829,1.15896,0.53395,0.47108,0.45856,0.18332,2.33826,1.68146,1.48874,0.00110362,0.00110362,0.00110362
48,98.4525,1.79246,1.20511,1.16371,0.5074,0.50718,0.48638,0.19752,2.26756,1.65393,1.45037,0.00109654,0.00109654,0.00109654
49,100.062,1.71551,1.20718,1.18449,0.4882,0.49978,0.46462,0.18563,2.27235,1.71092,1.48838,0.00108947,0.00108947,0.00108947
50,101.716,1.82983,1.26037,1.16748,0.48665,0.45669,0.44517,0.17743,2.31426,1.71002,1.50609,0.0010824,0.0010824,0.0010824
51,103.291,1.71551,1.17611,1.13885,0.56853,0.46026,0.42957,0.17261,2.27747,1.75106,1.47694,0.00107532,0.00107532,0.00107532
52,104.839,1.76117,1.15897,1.18302,0.53061,0.45636,0.41499,0.16904,2.2558,1.75717,1.48168,0.00106825,0.00106825,0.00106825
53,106.36,1.68663,1.13905,1.14225,0.41932,0.48233,0.38449,0.15159,2.27346,1.7486,1.48706,0.00106118,0.00106118,0.00106118
54,107.948,1.67748,1.08239,1.14286,0.45496,0.43271,0.37983,0.14631,2.28843,1.80943,1.48576,0.0010541,0.0010541,0.0010541
55,109.502,1.70821,1.08627,1.13557,0.50379,0.42527,0.39693,0.15302,2.30209,1.81064,1.49293,0.00104703,0.00104703,0.00104703
56,111.067,1.7254,1.07649,1.13736,0.52098,0.43751,0.41068,0.15418,2.35634,1.75,1.52461,0.00103995,0.00103995,0.00103995
