epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27969,1.92386,4.29917,1.99508,0.05023,0.21007,0.02893,0.00891,2.08677,4.47203,1.93602,0.0001,0.0001,0.0001
2,8.34277,1.56248,3.15878,1.80585,0.01151,0.30966,0.0148,0.00678,1.978,4.29707,1.94759,0.000210396,0.000210396,0.000210396
3,11.0171,1.44553,2.71756,1.72875,0.53922,0.10526,0.03341,0.01644,1.97616,4.36642,1.90875,0.000318565,0.000318565,0.000318565
4,13.7675,1.47685,2.49615,1.65699,0.82194,0.07895,0.10246,0.06695,2.11121,4.60787,1.95087,0.000424506,0.000424506,0.000424506
5,16.5161,1.41025,2.44617,1.7111,0.69164,0.11842,0.09054,0.04507,2.33281,5.02687,2.05416,0.00052822,0.00052822,0.00052822
6,19.2388,1.58822,2.40876,1.68277,0.67796,0.07895,0.07523,0.04148,2.18849,5.25524,2.02253,0.000629706,0.000629706,0.000629706
7,21.6838,1.56634,2.32145,1.67058,0.58114,0.10526,0.04355,0.01827,2.32281,5.98746,2.12837,0.000728965,0.000728965,0.000728965
8,24.1987,1.5819,2.24462,1.70984,0.58227,0.09211,0.06909,0.03054,2.3115,6.19073,2.18446,0.000825996,0.000825996,0.000825996
9,26.6836,1.51957,2.30651,1.73426,0.59241,0.05263,0.02141,0.00563,2.32462,6.18515,2.29139,0.0009208,0.0009208,0.0009208
10,29.1606,1.57988,2.27546,1.71921,0.55084,0.07895,0.01756,0.00552,2.28903,5.96968,2.16535,0.00101338,0.00101338,0.00101338
11,31.6395,1.57762,2.21746,1.67275,0.67645,0.06579,0.04057,0.01229,2.28024,6.31125,2.26011,0.00110373,0.00110373,0.00110373
12,34.1465,1.59379,2.05406,1.68889,0.54241,0.06579,0.02586,0.00686,2.38376,7.12293,2.36809,0.00111388,0.00111388,0.00111388
13,36.6496,1.60907,2.08387,1.74578,0.55815,0.02632,0.01247,0.00573,2.39097,6.61548,2.46458,0.0011015,0.0011015,0.0011015
14,39.1087,1.63055,2.14507,1.73694,0.58937,0.09455,0.04908,0.01373,2.43549,7.88013,2.61301,0.00108913,0.00108913,0.00108913
15,41.5225,1.57005,2.03965,1.76312,0.54498,0.07895,0.03367,0.0094,2.4019,6.01924,2.50917,0.00107675,0.00107675,0.00107675
16,43.9683,1.66649,2.08653,1.84355,0.63633,0.13819,0.08716,0.03345,2.27357,6.11727,2.27144,0.00106437,0.00106437,0.00106437
17,46.4397,1.6773,2.01003,1.73917,0.63625,0.12822,0.09351,0.03747,2.33278,6.53164,2.35157,0.001052,0.001052,0.001052
18,48.9011,1.61531,1.94442,1.68475,0.78793,0.05263,0.06366,0.01848,2.26861,6.63944,2.30543,0.00103962,0.00103962,0.00103962
19,51.3411,1.53046,1.89111,1.70672,0.18527,0.03947,0.03624,0.01672,2.23342,6.01142,2.25537,0.00102725,0.00102725,0.00102725
20,53.842,1.46523,1.76776,1.60803,0.17312,0.03947,0.0402,0.00931,2.38643,6.13451,2.29352,0.00101488,0.00101488,0.00101488
21,56.3385,1.53419,1.84771,1.74212,0.0522,0.03947,0.02216,0.00923,2.39205,6.30886,2.37555,0.0010025,0.0010025,0.0010025
22,58.8575,1.59489,1.82015,1.66796,0.13631,0.06579,0.05966,0.02116,2.34624,6.14419,2.38928,0.000990125,0.000990125,0.000990125
23,61.3274,1.54157,1.75672,1.64299,0.153,0.09286,0.06634,0.02979,2.35312,6.02074,2.32476,0.00097775,0.00097775,0.00097775
24,63.8141,1.53651,1.84884,1.67798,0.56312,0.03947,0.02732,0.01134,2.33239,6.14175,2.22394,0.000965375,0.000965375,0.000965375
25,66.2703,1.56299,1.94238,1.72246,0.70155,0.09211,0.07202,0.02303,2.2478,6.12771,2.15094,0.000953,0.000953,0.000953
26,68.7384,1.45983,1.74728,1.6169,0.63944,0.17105,0.07839,0.02539,2.23318,6.16025,2.12311,0.000940625,0.000940625,0.000940625
27,71.2068,1.48568,1.70222,1.62003,0.7192,0.14474,0.1176,0.0646,2.17998,6.13802,2.04469,0.00092825,0.00092825,0.00092825
28,73.6923,1.47134,1.73007,1.6329,0.19243,0.15789,0.10867,0.05133,2.23128,6.00806,2.03222,0.000915875,0.000915875,0.000915875
29,76.1945,1.51543,1.70933,1.57382,0.1642,0.15789,0.0889,0.04018,2.22104,5.9481,2.06152,0.0009035,0.0009035,0.0009035
30,78.6313,1.35161,1.59375,1.5571,0.1054,0.13158,0.09597,0.04328,2.16339,6.26432,1.98817,0.000891125,0.000891125,0.000891125
31,81.0502,1.3746,1.63146,1.54333,0.16918,0.15789,0.09225,0.04553,2.22769,6.27865,1.99431,0.00087875,0.00087875,0.00087875
32,83.5216,1.42614,1.64014,1.57832,0.2301,0.14474,0.14356,0.08448,2.14183,6.05784,1.99083,0.000866375,0.000866375,0.000866375
33,86.0077,1.34031,1.50967,1.49684,0.27295,0.18421,0.13477,0.0706,2.11511,6.20685,2.00756,0.000854,0.000854,0.000854
34,88.4388,1.33411,1.52198,1.56773,0.17917,0.15789,0.13375,0.06809,2.11555,6.20702,1.9815,0.000841625,0.000841625,0.000841625
35,90.8807,1.35911,1.52379,1.50219,0.13538,0.09211,0.11184,0.05472,2.14657,6.31498,2.02707,0.00082925,0.00082925,0.00082925
36,93.3593,1.35344,1.43594,1.49094,0.24397,0.14474,0.14552,0.06868,2.1898,6.29124,2.077,0.000816875,0.000816875,0.000816875
37,95.909,1.33031,1.41857,1.50767,0.20219,0.16977,0.12421,0.05325,2.25264,6.23383,2.09935,0.0008045,0.0008045,0.0008045
38,98.3404,1.26664,1.36049,1.41386,0.23495,0.10526,0.10709,0.05056,2.22376,6.20617,2.08701,0.000792125,0.000792125,0.000792125
39,100.794,1.29392,1.37131,1.45522,0.11982,0.07895,0.06694,0.03055,2.22388,6.38741,2.12237,0.00077975,0.00077975,0.00077975
40,103.278,1.25802,1.43463,1.4915,0.15706,0.13158,0.09426,0.05935,2.25032,6.31117,2.13824,0.000767375,0.000767375,0.000767375
41,105.71,1.11788,1.16948,1.35811,0.24523,0.13158,0.11073,0.05213,2.25238,6.29205,2.10291,0.000755,0.000755,0.000755
42,108.156,1.25575,1.35812,1.45858,0.32,0.11842,0.14291,0.0738,2.2695,6.15826,2.07555,0.000742625,0.000742625,0.000742625
43,110.616,1.14909,1.19926,1.41983,0.443,0.13158,0.16027,0.07952,2.2692,6.2461,2.05521,0.00073025,0.00073025,0.00073025
44,113.075,1.18705,1.27881,1.41359,0.27731,0.13158,0.13471,0.05431,2.28663,6.36739,2.10259,0.000717875,0.000717875,0.000717875
45,115.496,1.17957,1.16012,1.36281,0.24493,0.14474,0.15551,0.06575,2.2012,6.29696,2.04175,0.0007055,0.0007055,0.0007055
46,117.916,1.17086,1.20102,1.38301,0.4581,0.09211,0.13332,0.05671,2.168,6.4154,2.0269,0.000693125,0.000693125,0.000693125
47,120.337,1.15051,1.18546,1.3517,0.34047,0.10526,0.13878,0.06294,2.24291,6.40369,2.09797,0.00068075,0.00068075,0.00068075
48,122.976,1.12817,1.1382,1.38615,0.38914,0.15789,0.20518,0.10372,2.24211,6.40124,2.1152,0.000668375,0.000668375,0.000668375
49,125.507,1.13507,1.04929,1.36152,0.3061,0.14474,0.18466,0.09789,2.26745,6.38307,2.08593,0.000656,0.000656,0.000656
50,128.052,1.16711,1.10008,1.35956,0.30209,0.15789,0.19325,0.10981,2.2351,6.33055,2.04145,0.000643625,0.000643625,0.000643625
51,130.8,1.24708,1.13228,1.36146,0.31386,0.17105,0.19004,0.10914,2.17333,6.21937,1.97505,0.00063125,0.00063125,0.00063125
52,133.641,1.20428,1.22612,1.37299,0.43319,0.17066,0.21634,0.1241,2.18349,6.15202,2.02587,0.000618875,0.000618875,0.000618875
53,136.823,1.08681,1.06213,1.31216,0.27309,0.22368,0.19261,0.10771,2.24097,6.2918,2.05552,0.0006065,0.0006065,0.0006065
54,139.963,1.11267,1.10619,1.36641,0.18935,0.17105,0.14519,0.0906,2.31447,6.5081,2.13665,0.000594125,0.000594125,0.000594125
55,142.795,1.10529,1.11629,1.3209,0.15517,0.17105,0.13568,0.07356,2.2897,6.62028,2.16239,0.00058175,0.00058175,0.00058175
56,145.506,1.1042,1.12513,1.36183,0.19308,0.15789,0.13676,0.07125,2.13231,6.50185,2.03136,0.000569375,0.000569375,0.000569375
57,148.214,1.0641,1.00695,1.3033,0.39653,0.14474,0.16257,0.08129,2.11505,6.37543,2.0422,0.000557,0.000557,0.000557
58,150.908,1.11883,1.12056,1.34548,0.4025,0.13158,0.17269,0.09175,2.11693,6.25581,2.01279,0.000544625,0.000544625,0.000544625
59,153.644,1.0719,0.99497,1.26281,0.27781,0.15789,0.16505,0.08536,2.09293,6.19785,2.00728,0.00053225,0.00053225,0.00053225
60,156.406,1.13596,1.14732,1.33091,0.24821,0.18421,0.16322,0.0865,2.10937,6.30533,2.02573,0.000519875,0.000519875,0.000519875
61,159.072,1.04878,0.99633,1.31585,0.38896,0.14474,0.17859,0.09403,2.15231,6.43193,2.06716,0.0005075,0.0005075,0.0005075
62,161.715,1.07281,0.97068,1.29263,0.27556,0.21002,0.1822,0.09146,2.21378,6.46335,2.13491,0.000495125,0.000495125,0.000495125
63,164.471,1.02182,0.94895,1.27181,0.21045,0.15789,0.15573,0.08278,2.22972,6.43042,2.12863,0.00048275,0.00048275,0.00048275
64,167.207,1.06881,0.95995,1.31886,0.2662,0.16494,0.17555,0.09613,2.29272,6.45675,2.16881,0.000470375,0.000470375,0.000470375
65,169.989,1.0473,0.98711,1.31925,0.2886,0.14474,0.17323,0.09083,2.24816,6.65358,2.12998,0.000458,0.000458,0.000458
66,172.688,1.10845,0.98361,1.31636,0.22957,0.13158,0.14018,0.08101,2.261,6.85079,2.15484,0.000445625,0.000445625,0.000445625
67,175.391,0.96205,0.87872,1.25345,0.2204,0.15789,0.13429,0.08147,2.23995,6.85038,2.17256,0.00043325,0.00043325,0.00043325
68,177.99,0.91476,0.85609,1.21739,0.22439,0.19737,0.16408,0.10374,2.17024,6.67176,2.12182,0.000420875,0.000420875,0.000420875
69,180.578,0.94942,0.895,1.27258,0.41481,0.18421,0.19363,0.11808,2.13642,6.4214,2.08064,0.0004085,0.0004085,0.0004085
70,183.215,0.94757,0.88373,1.21112,0.39116,0.19737,0.20418,0.13,2.1096,6.42141,2.02125,0.000396125,0.000396125,0.000396125
71,185.786,0.95496,0.8937,1.25414,0.32995,0.18421,0.19392,0.11465,2.16414,6.53521,2.03708,0.00038375,0.00038375,0.00038375
72,188.312,0.97862,0.92704,1.29974,0.27423,0.19737,0.19306,0.10569,2.12946,6.53959,1.98118,0.000371375,0.000371375,0.000371375
